routeid,nodeid,gpslong,gpslati
100100124,102000271,126.9465174884,37.5343626071
100100124,102000204,126.9493037945,37.5339606747
100100124,102000227,126.9504485667,37.5337439118
100100124,102000210,126.9509043881,37.5342784061
100100124,102000212,126.9539838422,37.5354201502
100100124,102000214,126.9550322215,37.5357487714
100100124,102000216,126.9579568939,37.5367069612
100100124,102000218,126.9595027769,37.5371259582
100100124,102000153,126.9607348708,37.5366304221
100100124,102000156,126.9620433894,37.5344828174
100100124,102000158,126.963900286,37.5326572802
100100124,102000161,126.966155,37.529349
100100124,102000162,126.9645186276,37.527193494
100100124,102000029,126.964005685,37.5252500866
100100124,102000200,126.959676039,37.5236972645
100100124,102000198,126.9562789235,37.5261482683
100100124,102000196,126.9550134,37.5277168019
100100124,102000194,126.9545557512,37.5301735631
100100124,102000193,126.9530395553,37.5301685887
100100124,102000202,126.9495515487,37.5324430889
100100124,102000204,126.9493037945,37.5339606747
100100124,102000205,126.9505883522,37.5330803284
100100124,102000207,126.9535516914,37.5322407924
100100124,102000195,126.9544433676,37.5297428608
100100124,102000197,126.9547629377,37.5279691953
100100124,102000199,126.9562314358,37.5260689531
100100124,102000201,126.9598438074,37.5235147022
100100124,102000001,126.9631731011,37.5241009704
100100124,102000003,126.9661443758,37.5272804289
100100124,102000159,126.9676302115,37.5299861801
100100124,102000157,126.9639418298,37.5327298626
100100124,102000155,126.9621315214,37.5345347674
100100124,102000154,126.9612722332,37.5359466913
100100124,102000219,126.959391094,37.5372317978
100100124,102000217,126.9582549601,37.5368659341
100100124,102000215,126.9549544645,37.5358169174
100100124,102000213,126.9538019768,37.5354852446
100100124,102000211,126.9511868344,37.5345074372
100100124,102000228,126.9503601746,37.533754777
100100124,102000203,126.948243747,37.5345973492
104000007,101000006,126.9727726582,37.5554752628
104000007,101000018,126.9690060167,37.5629931372
104000007,101000020,126.9676562745,37.5648478757
104000007,100000073,126.9644319566,37.5681995005
104000007,100000075,126.9614824815,37.571119893
104000007,100000033,126.9680704944,37.5749465941
104000007,100000032,126.9714954531,37.5759010413
104000007,100000022,126.9787204661,37.5756938103
104000007,100000104,126.9841842323,37.5758656523
104000007,100000103,126.9886344578,37.5772989287
104000007,100000414,126.991061212,37.5774776278
104000007,100000159,126.9982123686,37.5757861716
104000007,100000122,127.0005178806,37.5759190979
104000007,100000129,127.0032823109,37.5760347544
104000007,100000119,127.006331,37.574106
104000007,100000118,127.0085128985,37.5717853606
104000007,101000074,127.0084231234,37.5673199726
104000007,101000073,127.0058282626,37.5664064222
104000007,101000066,126.9992630956,37.566755096
104000007,101000063,126.9962218644,37.5666038467
104000007,101000061,126.990379454,37.566313373
104000007,101000059,126.9865270687,37.5661750187
104000007,101000041,126.9821793435,37.5644712444
104000007,101000032,126.9779334764,37.5610812855
104000007,101000329,126.9744890187,37.5597629406
104000007,101000006,126.9727726582,37.5554752628
104000007,101000018,126.9690060167,37.5629931372
104000007,101000020,126.9676562745,37.5648478757
104000007,100000073,126.9644319566,37.5681995005
104000007,100000075,126.9614824815,37.571119893
104000007,100000033,126.9680704944,37.5749465941
104000007,100000032,126.9714954531,37.5759010413
104000007,100000022,126.9787204661,37.5756938103
104000007,100000104,126.9841842323,37.5758656523
104000007,100000103,126.9886344578,37.5772989287
104000007,100000414,126.991061212,37.5774776278
104000007,100000159,126.9982123686,37.5757861716
104000007,100000122,127.0005178806,37.5759190979
104000007,100000129,127.0032823109,37.5760347544
104000007,100000119,127.006331,37.574106
104000007,100000118,127.0085128985,37.5717853606
104000007,101000074,127.0084231234,37.5673199726
104000007,101000073,127.0058282626,37.5664064222
104000007,101000066,126.9992630956,37.566755096
104000007,101000063,126.9962218644,37.5666038467
104000007,101000061,126.990379454,37.566313373
104000007,101000059,126.9865270687,37.5661750187
104000007,101000041,126.9821793435,37.5644712444
104000007,101000032,126.9779334764,37.5610812855
104000007,101000329,126.9744890187,37.5597629406
104000007,101000004,126.9725522061,37.5554776389
104000008,101000006,126.9727726582,37.5554752628
104000008,101000027,126.9740061243,37.5585974617
104000008,101000114,126.9762193,37.56037765
104000008,101000043,126.9819217706,37.5630081328
104000008,101000057,126.9853753406,37.5659870189
104000008,101000060,126.9888222236,37.5661216045
104000008,101000062,126.9913175282,37.5662336334
104000008,101000064,126.9968402973,37.5664971393
104000008,101000067,127.0011069759,37.5667239207
104000008,101000070,127.0064075366,37.5661794747
104000008,101000075,127.0089802242,37.5676255678
104000008,100000121,127.0062426155,37.5744023584
104000008,100000179,127.0029997189,37.5761871952
104000008,100000127,127.0007063654,37.5760580629
104000008,100000076,126.9886004441,37.5774213234
104000008,100000036,126.984096286,37.5759711778
104000008,100000035,126.9819731191,37.5757394332
104000008,100000019,126.971317861,37.5760900645
104000008,100000018,126.9680206454,37.5751125217
104000008,100000363,126.9624984656,37.5699164515
104000008,112000403,126.965829288,37.5664740964
104000008,112000399,126.9691796639,37.5624553919
104000008,101000006,126.9727726582,37.5554752628
104000008,101000027,126.9740061243,37.5585974617
104000008,101000114,126.9762193,37.56037765
104000008,101000043,126.9819217706,37.5630081328
104000008,101000057,126.9853753406,37.5659870189
104000008,101000060,126.9888222236,37.5661216045
104000008,101000062,126.9913175282,37.5662336334
104000008,101000064,126.9968402973,37.5664971393
104000008,101000067,127.0011069759,37.5667239207
104000008,101000070,127.0064075366,37.5661794747
104000008,101000075,127.0089802242,37.5676255678
104000008,100000121,127.0062426155,37.5744023584
104000008,100000179,127.0029997189,37.5761871952
104000008,100000127,127.0007063654,37.5760580629
104000008,100000076,126.9886004441,37.5774213234
104000008,100000036,126.984096286,37.5759711778
104000008,100000035,126.9819731191,37.5757394332
104000008,100000019,126.971317861,37.5760900645
104000008,100000018,126.9680206454,37.5751125217
104000008,100000363,126.9624984656,37.5699164515
104000008,112000403,126.965829288,37.5664740964
